state,district,pincode,total_enrollments,total_demo_updates,total_bio_updates,total_updates,update_to_enrollment_ratio
Andhra Pradesh,Anantapur,515581,43.0,634.0,1089.0,1723.0,39.15909090909091
Andhra Pradesh,Anantapur,515591,132.0,2147.0,2415.0,4562.0,34.30075187969925
Andhra Pradesh,Anantapur,515601,10.0,447.0,464.0,911.0,82.81818181818181
Andhra Pradesh,Anantapur,515611,29.0,283.0,681.0,964.0,32.13333333333333
Andhra Pradesh,Anantapur,515621,47.0,389.0,671.0,1060.0,22.083333333333332
Andhra Pradesh,Anantapur,515631,28.0,388.0,632.0,1020.0,35.172413793103445
Andhra Pradesh,Anantapur,515641,26.0,348.0,664.0,1012.0,37.48148148148148
Andhra Pradesh,Anantapur,515651,23.0,197.0,410.0,607.0,25.291666666666668
Andhra Pradesh,Anantapur,515661,28.0,574.0,591.0,1165.0,40.172413793103445
Andhra Pradesh,Anantapur,515671,100.0,1616.0,1861.0,3477.0,34.42574257425743
Andhra Pradesh,Anantapur,515672,39.0,501.0,1037.0,1538.0,38.45
Andhra Pradesh,Anantapur,515701,93.0,1202.0,1753.0,2955.0,31.43617021276596
Andhra Pradesh,Anantapur,515711,60.0,572.0,830.0,1402.0,22.983606557377048
Andhra Pradesh,Anantapur,515721,22.0,167.0,570.0,737.0,32.04347826086956
Andhra Pradesh,Anantapur,515722,27.0,411.0,811.0,1222.0,43.642857142857146
Andhra Pradesh,Anantapur,515731,74.0,1685.0,1243.0,2928.0,39.04
Andhra Pradesh,Anantapur,515741,51.0,931.0,1022.0,1953.0,37.55769230769231
Andhra Pradesh,Anantapur,515751,72.0,2220.0,1418.0,3638.0,49.83561643835616
Andhra Pradesh,Anantapur,515761,132.0,977.0,1929.0,2906.0,21.849624060150376
Andhra Pradesh,Anantapur,515763,30.0,345.0,771.0,1116.0,36.0
Andhra Pradesh,Anantapur,515765,50.0,406.0,927.0,1333.0,26.137254901960784
Andhra Pradesh,Anantapur,515766,96.0,607.0,1561.0,2168.0,22.350515463917525
Andhra Pradesh,Anantapur,515767,58.0,1235.0,1042.0,2277.0,38.59322033898305
Andhra Pradesh,Anantapur,515774,16.0,180.0,489.0,669.0,39.35294117647059
Andhra Pradesh,Anantapur,515775,65.0,1141.0,2128.0,3269.0,49.53030303030303
Andhra Pradesh,Anantapur,515787,32.0,319.0,640.0,959.0,29.060606060606062
Andhra Pradesh,Anantapur,515801,131.0,913.0,2955.0,3868.0,29.303030303030305
Andhra Pradesh,Anantapur,515803,24.0,173.0,611.0,784.0,31.36
Andhra Pradesh,Anantapur,515812,105.0,1505.0,2338.0,3843.0,36.25471698113208
Andhra Pradesh,Anantapur,515822,47.0,410.0,689.0,1099.0,22.895833333333332
Andhra Pradesh,Anantapur,515832,47.0,696.0,1180.0,1876.0,39.083333333333336
Andhra Pradesh,Anantapur,515842,58.0,352.0,1096.0,1448.0,24.54237288135593
Andhra Pradesh,Anantapur,515863,49.0,325.0,988.0,1313.0,26.26
Andhra Pradesh,Anantapur,515865,224.0,4583.0,4199.0,8782.0,39.03111111111111
Andhra Pradesh,Anantapur,515867,68.0,324.0,812.0,1136.0,16.463768115942027
Andhra Pradesh,Anantapur,515870,65.0,594.0,1190.0,1784.0,27.03030303030303
Andhra Pradesh,Anantapur,515871,169.0,2299.0,3218.0,5517.0,32.45294117647059
Andhra Pradesh,Anantapur,515872,14.0,92.0,413.0,505.0,33.666666666666664
Andhra Pradesh,Ananthapur,515001,81.0,1296.0,4588.0,5884.0,71.7560975609756
Andhra Pradesh,Ananthapur,515002,7.0,60.0,431.0,491.0,61.375
Andhra Pradesh,Ananthapur,515003,3.0,14.0,40.0,54.0,13.5
Andhra Pradesh,Ananthapur,515004,44.0,502.0,1644.0,2146.0,47.68888888888889
Andhra Pradesh,Ananthapur,515005,2.0,42.0,61.0,103.0,34.333333333333336
Andhra Pradesh,Ananthapur,515101,22.0,488.0,677.0,1165.0,50.65217391304348
Andhra Pradesh,Ananthapur,515110,13.0,199.0,784.0,983.0,70.21428571428571
Andhra Pradesh,Ananthapur,515122,9.0,320.0,525.0,845.0,84.5
Andhra Pradesh,Ananthapur,515123,8.0,187.0,408.0,595.0,66.11111111111111
Andhra Pradesh,Ananthapur,515124,5.0,221.0,243.0,464.0,77.33333333333333
Andhra Pradesh,Ananthapur,515133,4.0,111.0,190.0,301.0,60.2
Andhra Pradesh,Ananthapur,515134,12.0,167.0,555.0,722.0,55.53846153846154
Andhra Pradesh,Ananthapur,515144,12.0,122.0,389.0,511.0,39.30769230769231
Andhra Pradesh,Ananthapur,515154,12.0,97.0,244.0,341.0,26.23076923076923
Andhra Pradesh,Ananthapur,515159,3.0,68.0,326.0,394.0,98.5
Andhra Pradesh,Ananthapur,515164,9.0,177.0,205.0,382.0,38.2
Andhra Pradesh,Ananthapur,515201,83.0,882.0,4247.0,5129.0,61.05952380952381
Andhra Pradesh,Ananthapur,515211,17.0,224.0,1007.0,1231.0,68.38888888888889
Andhra Pradesh,Ananthapur,515212,6.0,263.0,397.0,660.0,94.28571428571429
Andhra Pradesh,Ananthapur,515231,27.0,478.0,1427.0,1905.0,68.03571428571429
Andhra Pradesh,Ananthapur,515241,5.0,143.0,322.0,465.0,77.5
Andhra Pradesh,Ananthapur,515261,12.0,245.0,460.0,705.0,54.23076923076923
Andhra Pradesh,Ananthapur,515271,14.0,410.0,791.0,1201.0,80.06666666666666
Andhra Pradesh,Ananthapur,515281,2.0,163.0,537.0,700.0,233.33333333333334
Andhra Pradesh,Ananthapur,515286,12.0,124.0,578.0,702.0,54.0
Andhra Pradesh,Ananthapur,515291,6.0,55.0,112.0,167.0,23.857142857142858
Andhra Pradesh,Ananthapur,515301,32.0,654.0,1156.0,1810.0,54.84848484848485
Andhra Pradesh,Ananthapur,515303,8.0,80.0,202.0,282.0,31.333333333333332
Andhra Pradesh,Ananthapur,515305,7.0,258.0,638.0,896.0,112.0
Andhra Pradesh,Ananthapur,515311,3.0,189.0,429.0,618.0,154.5
Andhra Pradesh,Ananthapur,515321,5.0,135.0,145.0,280.0,46.666666666666664
Andhra Pradesh,Ananthapur,515331,11.0,412.0,568.0,980.0,81.66666666666667
Andhra Pradesh,Ananthapur,515341,5.0,92.0,58.0,150.0,25.0
Andhra Pradesh,Ananthapur,515401,58.0,426.0,2111.0,2537.0,43.0
Andhra Pradesh,Ananthapur,515402,15.0,115.0,706.0,821.0,51.3125
Andhra Pradesh,Ananthapur,515405,9.0,190.0,781.0,971.0,97.1
Andhra Pradesh,Ananthapur,515408,24.0,206.0,1003.0,1209.0,48.36
Andhra Pradesh,Ananthapur,515411,59.0,650.0,2566.0,3216.0,53.6
Andhra Pradesh,Ananthapur,515414,11.0,187.0,325.0,512.0,42.666666666666664
Andhra Pradesh,Ananthapur,515415,15.0,212.0,434.0,646.0,40.375
Andhra Pradesh,Ananthapur,515425,16.0,476.0,1470.0,1946.0,114.47058823529412
Andhra Pradesh,Ananthapur,515435,11.0,114.0,151.0,265.0,22.083333333333332
Andhra Pradesh,Ananthapur,515445,12.0,124.0,567.0,691.0,53.15384615384615
Andhra Pradesh,Ananthapur,515455,23.0,134.0,798.0,932.0,38.833333333333336
Andhra Pradesh,Ananthapur,515465,16.0,202.0,663.0,865.0,50.88235294117647
Andhra Pradesh,Ananthapur,515501,16.0,289.0,585.0,874.0,51.411764705882355
Andhra Pradesh,Ananthapur,515511,5.0,147.0,663.0,810.0,135.0
Andhra Pradesh,Ananthapur,515521,14.0,202.0,651.0,853.0,56.86666666666667
Andhra Pradesh,Ananthapur,515531,13.0,188.0,369.0,557.0,39.785714285714285
Andhra Pradesh,Ananthapur,515541,11.0,106.0,595.0,701.0,58.416666666666664
Andhra Pradesh,Ananthapur,515551,9.0,83.0,167.0,250.0,25.0
Andhra Pradesh,Ananthapur,515556,5.0,129.0,197.0,326.0,54.333333333333336
Andhra Pradesh,Ananthapur,515561,21.0,409.0,701.0,1110.0,50.45454545454545
Andhra Pradesh,Ananthapur,515571,11.0,524.0,640.0,1164.0,97.0
Andhra Pradesh,Ananthapur,515581,14.0,156.0,495.0,651.0,43.4
Andhra Pradesh,Ananthapur,515591,49.0,793.0,2256.0,3049.0,60.98
Andhra Pradesh,Ananthapur,515611,12.0,76.0,208.0,284.0,21.846153846153847
Andhra Pradesh,Ananthapur,515621,34.0,641.0,966.0,1607.0,45.91428571428571
Andhra Pradesh,Ananthapur,515631,26.0,509.0,754.0,1263.0,46.77777777777778
Andhra Pradesh,Ananthapur,515641,39.0,828.0,1507.0,2335.0,58.375
Andhra Pradesh,Ananthapur,515651,15.0,314.0,513.0,827.0,51.6875
Andhra Pradesh,Ananthapur,515661,21.0,415.0,692.0,1107.0,50.31818181818182
Andhra Pradesh,Ananthapur,515671,80.0,1444.0,3343.0,4787.0,59.098765432098766
Andhra Pradesh,Ananthapur,515672,57.0,1410.0,2016.0,3426.0,59.06896551724138
Andhra Pradesh,Ananthapur,515701,38.0,275.0,1227.0,1502.0,38.51282051282051
Andhra Pradesh,Ananthapur,515711,26.0,727.0,812.0,1539.0,57.0
Andhra Pradesh,Ananthapur,515721,10.0,43.0,341.0,384.0,34.90909090909091
Andhra Pradesh,Ananthapur,515722,5.0,63.0,430.0,493.0,82.16666666666667
Andhra Pradesh,Ananthapur,515731,23.0,237.0,733.0,970.0,40.416666666666664
Andhra Pradesh,Ananthapur,515741,11.0,192.0,771.0,963.0,80.25
Andhra Pradesh,Ananthapur,515751,24.0,409.0,1105.0,1514.0,60.56
