state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_updates,total_enrollments
Andhra Pradesh,Adilabad,504101,12.0,0.0,0.0,22.0,194.0,142.0,231.0,589.0,12.0
Andhra Pradesh,Adilabad,504102,16.0,1.0,0.0,34.0,151.0,220.0,461.0,866.0,17.0
Andhra Pradesh,Adilabad,504103,30.0,5.0,0.0,139.0,1061.0,661.0,1538.0,3399.0,35.0
Andhra Pradesh,Adilabad,504104,1.0,1.0,0.0,10.0,126.0,78.0,189.0,403.0,2.0
Andhra Pradesh,Adilabad,504105,2.0,0.0,0.0,48.0,306.0,106.0,224.0,684.0,2.0
Andhra Pradesh,Adilabad,504106,19.0,3.0,1.0,69.0,563.0,429.0,1063.0,2124.0,23.0
Andhra Pradesh,Adilabad,504109,19.0,2.0,0.0,40.0,312.0,218.0,486.0,1056.0,21.0
Andhra Pradesh,Adilabad,504201,32.0,1.0,0.0,113.0,1250.0,361.0,928.0,2652.0,33.0
Andhra Pradesh,Adilabad,504203,9.0,3.0,0.0,48.0,355.0,386.0,605.0,1394.0,12.0
Andhra Pradesh,Adilabad,504204,12.0,8.0,0.0,46.0,393.0,222.0,754.0,1415.0,20.0
Andhra Pradesh,Adilabad,504205,11.0,2.0,0.0,84.0,724.0,230.0,736.0,1774.0,13.0
Andhra Pradesh,Adilabad,504206,8.0,1.0,0.0,67.0,573.0,182.0,534.0,1356.0,9.0
Andhra Pradesh,Adilabad,504207,25.0,3.0,0.0,61.0,565.0,224.0,591.0,1441.0,28.0
Andhra Pradesh,Adilabad,504208,39.0,5.0,0.0,50.0,496.0,465.0,947.0,1958.0,44.0
Andhra Pradesh,Adilabad,504209,12.0,1.0,0.0,10.0,139.0,85.0,153.0,387.0,13.0
Andhra Pradesh,Adilabad,504214,18.0,8.0,0.0,47.0,700.0,205.0,1021.0,1973.0,26.0
Andhra Pradesh,Adilabad,504215,32.0,8.0,0.0,72.0,776.0,292.0,810.0,1950.0,40.0
Andhra Pradesh,Adilabad,504216,19.0,2.0,0.0,83.0,428.0,160.0,358.0,1029.0,21.0
Andhra Pradesh,Adilabad,504219,13.0,7.0,0.0,112.0,673.0,277.0,1780.0,2842.0,20.0
Andhra Pradesh,Adilabad,504220,1.0,0.0,0.0,2.0,39.0,8.0,34.0,83.0,1.0
Andhra Pradesh,Adilabad,504231,33.0,6.0,0.0,53.0,518.0,247.0,702.0,1520.0,39.0
Andhra Pradesh,Adilabad,504251,28.0,10.0,0.0,171.0,1275.0,401.0,1867.0,3714.0,38.0
Andhra Pradesh,Adilabad,504272,7.0,1.0,0.0,26.0,319.0,138.0,505.0,988.0,8.0
Andhra Pradesh,Adilabad,504273,39.0,26.0,0.0,93.0,636.0,386.0,1437.0,2552.0,65.0
Andhra Pradesh,Adilabad,504292,15.0,4.0,0.0,42.0,516.0,173.0,553.0,1284.0,19.0
Andhra Pradesh,Adilabad,504293,20.0,14.0,0.0,71.0,1051.0,407.0,920.0,2449.0,34.0
Andhra Pradesh,Adilabad,504294,50.0,9.0,0.0,31.0,467.0,343.0,1665.0,2506.0,59.0
Andhra Pradesh,Adilabad,504295,27.0,15.0,0.0,39.0,814.0,195.0,734.0,1782.0,42.0
Andhra Pradesh,Adilabad,504296,92.0,19.0,0.0,117.0,1454.0,559.0,2093.0,4223.0,111.0
Andhra Pradesh,Adilabad,504299,97.0,32.0,0.0,196.0,3080.0,1109.0,4715.0,9100.0,129.0
Andhra Pradesh,Adilabad,504301,15.0,4.0,0.0,18.0,188.0,74.0,220.0,500.0,19.0
Andhra Pradesh,Adilabad,504302,17.0,5.0,0.0,6.0,236.0,139.0,290.0,671.0,22.0
Andhra Pradesh,Adilabad,504303,8.0,0.0,0.0,12.0,148.0,56.0,107.0,323.0,8.0
Andhra Pradesh,Adilabad,504304,6.0,1.0,0.0,11.0,140.0,64.0,191.0,406.0,7.0
Andhra Pradesh,Adilabad,504306,7.0,0.0,0.0,30.0,166.0,82.0,214.0,492.0,7.0
Andhra Pradesh,Adilabad,504307,55.0,7.0,0.0,52.0,469.0,219.0,698.0,1438.0,62.0
Andhra Pradesh,Adilabad,504308,27.0,3.0,0.0,33.0,350.0,117.0,457.0,957.0,30.0
Andhra Pradesh,Adilabad,504309,11.0,3.0,0.0,34.0,517.0,193.0,950.0,1694.0,14.0
Andhra Pradesh,Adilabad,504310,1.0,1.0,0.0,15.0,106.0,93.0,119.0,333.0,2.0
Andhra Pradesh,Adilabad,504311,57.0,22.0,0.0,86.0,1349.0,546.0,2511.0,4492.0,79.0
Andhra Pradesh,Adilabad,504312,20.0,11.0,0.0,44.0,259.0,273.0,889.0,1465.0,31.0
Andhra Pradesh,Adilabad,504313,83.0,18.0,0.0,112.0,995.0,428.0,944.0,2479.0,101.0
Andhra Pradesh,Adilabad,504346,27.0,5.0,0.0,22.0,300.0,160.0,692.0,1174.0,32.0
Andhra Pradesh,Alluri Sitharama Raju,507111,28.0,6.0,0.0,45.0,762.0,170.0,141.0,1118.0,34.0
Andhra Pradesh,Alluri Sitharama Raju,507121,14.0,1.0,2.0,3.0,167.0,116.0,124.0,410.0,17.0
Andhra Pradesh,Alluri Sitharama Raju,507129,39.0,10.0,0.0,69.0,555.0,414.0,197.0,1235.0,49.0
Andhra Pradesh,Alluri Sitharama Raju,507134,26.0,1.0,0.0,26.0,194.0,217.0,66.0,503.0,27.0
Andhra Pradesh,Alluri Sitharama Raju,507135,10.0,2.0,0.0,14.0,173.0,146.0,191.0,524.0,12.0
Andhra Pradesh,Alluri Sitharama Raju,531024,90.0,9.0,2.0,85.0,615.0,438.0,883.0,2021.0,101.0
Andhra Pradesh,Alluri Sitharama Raju,531029,84.0,16.0,3.0,120.0,879.0,572.0,685.0,2256.0,103.0
Andhra Pradesh,Alluri Sitharama Raju,531030,4.0,0.0,0.0,9.0,24.0,72.0,34.0,139.0,4.0
Andhra Pradesh,Alluri Sitharama Raju,531040,125.0,8.0,6.0,120.0,1226.0,708.0,1326.0,3380.0,139.0
Andhra Pradesh,Alluri Sitharama Raju,531077,109.0,4.0,4.0,114.0,902.0,426.0,640.0,2082.0,117.0
Andhra Pradesh,Alluri Sitharama Raju,531084,23.0,0.0,0.0,39.0,258.0,128.0,128.0,553.0,23.0
Andhra Pradesh,Alluri Sitharama Raju,531087,45.0,2.0,0.0,61.0,345.0,305.0,276.0,987.0,47.0
Andhra Pradesh,Alluri Sitharama Raju,531105,22.0,12.0,3.0,21.0,180.0,94.0,134.0,429.0,37.0
Andhra Pradesh,Alluri Sitharama Raju,531110,1.0,0.0,1.0,0.0,9.0,27.0,12.0,48.0,2.0
Andhra Pradesh,Alluri Sitharama Raju,531111,83.0,7.0,6.0,140.0,705.0,764.0,752.0,2361.0,96.0
Andhra Pradesh,Alluri Sitharama Raju,531114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,531116,15.0,2.0,0.0,10.0,79.0,21.0,39.0,149.0,17.0
Andhra Pradesh,Alluri Sitharama Raju,531118,28.0,3.0,1.0,32.0,116.0,142.0,214.0,504.0,32.0
Andhra Pradesh,Alluri Sitharama Raju,531133,32.0,1.0,0.0,56.0,406.0,279.0,228.0,969.0,33.0
Andhra Pradesh,Alluri Sitharama Raju,531149,32.0,2.0,0.0,41.0,450.0,480.0,485.0,1456.0,34.0
Andhra Pradesh,Alluri Sitharama Raju,531151,55.0,2.0,4.0,34.0,188.0,475.0,434.0,1131.0,61.0
Andhra Pradesh,Alluri Sitharama Raju,533284,9.0,1.0,0.0,4.0,39.0,26.0,20.0,89.0,10.0
Andhra Pradesh,Alluri Sitharama Raju,533285,12.0,0.0,1.0,19.0,64.0,31.0,17.0,131.0,13.0
Andhra Pradesh,Alluri Sitharama Raju,533286,5.0,0.0,0.0,4.0,33.0,21.0,14.0,72.0,5.0
Andhra Pradesh,Alluri Sitharama Raju,533288,46.0,4.0,1.0,95.0,457.0,713.0,1043.0,2308.0,51.0
Andhra Pradesh,Alluri Sitharama Raju,533295,17.0,3.0,0.0,159.0,699.0,261.0,364.0,1483.0,20.0
Andhra Pradesh,Alluri Sitharama Raju,533339,8.0,0.0,0.0,9.0,52.0,147.0,124.0,332.0,8.0
Andhra Pradesh,Alluri Sitharama Raju,533347,5.0,3.0,0.0,14.0,111.0,117.0,61.0,303.0,8.0
Andhra Pradesh,Alluri Sitharama Raju,533348,4.0,3.0,0.0,2.0,25.0,68.0,25.0,120.0,7.0
Andhra Pradesh,Alluri Sitharama Raju,533352,1.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533428,18.0,3.0,0.0,30.0,148.0,256.0,216.0,650.0,21.0
Andhra Pradesh,Alluri Sitharama Raju,533429,2.0,0.0,0.0,2.0,30.0,14.0,25.0,71.0,2.0
Andhra Pradesh,Alluri Sitharama Raju,533436,25.0,2.0,0.0,108.0,844.0,205.0,291.0,1448.0,27.0
Andhra Pradesh,Alluri Sitharama Raju,533483,60.0,9.0,0.0,56.0,350.0,278.0,455.0,1139.0,69.0
Andhra Pradesh,Alluri Sitharama Raju,535145,24.0,0.0,0.0,20.0,156.0,264.0,506.0,946.0,24.0
Andhra Pradesh,Alluri Sitharama Raju,535273,3.0,0.0,0.0,2.0,15.0,10.0,4.0,31.0,3.0
Andhra Pradesh,Anakapalli,530046,7.0,0.0,0.0,13.0,52.0,6.0,11.0,82.0,7.0
Andhra Pradesh,Anakapalli,531001,42.0,2.0,0.0,94.0,747.0,275.0,223.0,1339.0,44.0
Andhra Pradesh,Anakapalli,531002,16.0,0.0,0.0,43.0,194.0,27.0,26.0,290.0,16.0
Andhra Pradesh,Anakapalli,531011,18.0,0.0,3.0,43.0,256.0,118.0,107.0,524.0,21.0
Andhra Pradesh,Anakapalli,531019,3.0,1.0,0.0,62.0,423.0,45.0,44.0,574.0,4.0
Andhra Pradesh,Anakapalli,531020,6.0,0.0,0.0,17.0,68.0,18.0,11.0,114.0,6.0
Andhra Pradesh,Anakapalli,531021,14.0,3.0,0.0,82.0,379.0,67.0,62.0,590.0,17.0
Andhra Pradesh,Anakapalli,531022,2.0,0.0,0.0,7.0,48.0,8.0,10.0,73.0,2.0
Andhra Pradesh,Anakapalli,531023,6.0,0.0,0.0,8.0,106.0,9.0,6.0,129.0,6.0
Andhra Pradesh,Anakapalli,531025,9.0,0.0,0.0,59.0,206.0,121.0,107.0,493.0,9.0
Andhra Pradesh,Anakapalli,531026,13.0,0.0,0.0,52.0,220.0,61.0,57.0,390.0,13.0
Andhra Pradesh,Anakapalli,531027,29.0,1.0,0.0,71.0,636.0,174.0,160.0,1041.0,30.0
Andhra Pradesh,Anakapalli,531028,12.0,0.0,0.0,30.0,154.0,59.0,60.0,303.0,12.0
Andhra Pradesh,Anakapalli,531030,11.0,1.0,0.0,5.0,96.0,69.0,59.0,229.0,12.0
Andhra Pradesh,Anakapalli,531031,18.0,0.0,0.0,45.0,415.0,135.0,169.0,764.0,18.0
Andhra Pradesh,Anakapalli,531032,18.0,0.0,0.0,57.0,481.0,157.0,130.0,825.0,18.0
Andhra Pradesh,Anakapalli,531033,14.0,0.0,0.0,21.0,150.0,24.0,33.0,228.0,14.0
Andhra Pradesh,Anakapalli,531034,11.0,0.0,0.0,23.0,162.0,28.0,34.0,247.0,11.0
Andhra Pradesh,Anakapalli,531035,23.0,0.0,0.0,62.0,389.0,180.0,181.0,812.0,23.0
Andhra Pradesh,Anakapalli,531036,15.0,0.0,0.0,65.0,423.0,128.0,161.0,777.0,15.0
Andhra Pradesh,Anakapalli,531055,30.0,0.0,2.0,305.0,1866.0,228.0,164.0,2563.0,32.0
Andhra Pradesh,Anakapalli,531060,9.0,0.0,0.0,10.0,87.0,10.0,8.0,115.0,9.0
Andhra Pradesh,Anakapalli,531061,14.0,1.0,0.0,37.0,300.0,96.0,77.0,510.0,15.0
Andhra Pradesh,Anakapalli,531075,7.0,0.0,0.0,4.0,42.0,8.0,9.0,63.0,7.0
Andhra Pradesh,Anakapalli,531081,16.0,0.0,1.0,97.0,615.0,239.0,97.0,1048.0,17.0
Andhra Pradesh,Anakapalli,531082,3.0,0.0,0.0,4.0,62.0,8.0,5.0,79.0,3.0
Andhra Pradesh,Anakapalli,531083,9.0,1.0,1.0,25.0,137.0,47.0,42.0,251.0,11.0
Andhra Pradesh,Anakapalli,531084,8.0,0.0,0.0,16.0,149.0,66.0,49.0,280.0,8.0
Andhra Pradesh,Anakapalli,531085,10.0,0.0,0.0,30.0,163.0,104.0,152.0,449.0,10.0
Andhra Pradesh,Anakapalli,531113,28.0,0.0,0.0,80.0,590.0,141.0,197.0,1008.0,28.0
Andhra Pradesh,Anakapalli,531114,19.0,0.0,0.0,55.0,365.0,104.0,105.0,629.0,19.0
Andhra Pradesh,Anakapalli,531115,11.0,0.0,0.0,17.0,141.0,73.0,55.0,286.0,11.0
Andhra Pradesh,Anakapalli,531116,38.0,1.0,0.0,138.0,807.0,328.0,355.0,1628.0,39.0
Andhra Pradesh,Anakapalli,531117,3.0,0.0,0.0,12.0,130.0,42.0,41.0,225.0,3.0
Andhra Pradesh,Anakapalli,531118,1.0,0.0,0.0,2.0,14.0,1.0,6.0,23.0,1.0
Andhra Pradesh,Anakapalli,531126,22.0,0.0,0.0,64.0,482.0,283.0,130.0,959.0,22.0
Andhra Pradesh,Anakapalli,531127,8.0,1.0,1.0,12.0,99.0,38.0,25.0,174.0,10.0
Andhra Pradesh,Anantapur,515001,171.0,20.0,0.0,310.0,2124.0,1815.0,2717.0,6966.0,191.0
Andhra Pradesh,Anantapur,515002,12.0,2.0,0.0,49.0,240.0,228.0,505.0,1022.0,14.0
Andhra Pradesh,Anantapur,515003,5.0,1.0,0.0,7.0,52.0,14.0,46.0,119.0,6.0
Andhra Pradesh,Anantapur,515004,54.0,6.0,0.0,118.0,594.0,604.0,984.0,2300.0,60.0
Andhra Pradesh,Anantapur,515101,38.0,1.0,0.0,175.0,725.0,230.0,616.0,1746.0,39.0
Andhra Pradesh,Anantapur,515110,33.0,5.0,0.0,103.0,419.0,292.0,652.0,1466.0,38.0
Andhra Pradesh,Anantapur,515122,30.0,1.0,0.0,120.0,879.0,391.0,638.0,2028.0,31.0
Andhra Pradesh,Anantapur,515123,27.0,0.0,0.0,65.0,358.0,250.0,816.0,1489.0,27.0
Andhra Pradesh,Anantapur,515124,19.0,2.0,0.0,61.0,363.0,187.0,357.0,968.0,21.0
Andhra Pradesh,Anantapur,515133,35.0,2.0,0.0,60.0,401.0,201.0,326.0,988.0,37.0
Andhra Pradesh,Anantapur,515134,25.0,0.0,0.0,73.0,307.0,231.0,363.0,974.0,25.0
Andhra Pradesh,Anantapur,515144,55.0,0.0,0.0,96.0,549.0,270.0,465.0,1380.0,55.0
Andhra Pradesh,Anantapur,515154,13.0,1.0,0.0,41.0,178.0,185.0,297.0,701.0,14.0
Andhra Pradesh,Anantapur,515159,8.0,0.0,0.0,41.0,108.0,77.0,113.0,339.0,8.0
Andhra Pradesh,Anantapur,515164,20.0,2.0,0.0,27.0,185.0,118.0,224.0,554.0,22.0
Andhra Pradesh,Anantapur,515201,101.0,8.0,0.0,231.0,1692.0,1023.0,1584.0,4530.0,109.0
Andhra Pradesh,Anantapur,515211,24.0,0.0,0.0,104.0,271.0,300.0,356.0,1031.0,24.0
Andhra Pradesh,Anantapur,515212,27.0,2.0,0.0,60.0,535.0,175.0,329.0,1099.0,29.0
Andhra Pradesh,Anantapur,515231,44.0,3.0,0.0,182.0,1489.0,424.0,841.0,2936.0,47.0
Andhra Pradesh,Anantapur,515241,16.0,2.0,0.0,66.0,604.0,189.0,371.0,1230.0,18.0
Andhra Pradesh,Anantapur,515261,31.0,3.0,0.0,56.0,285.0,118.0,297.0,756.0,34.0
Andhra Pradesh,Anantapur,515271,23.0,4.0,0.0,62.0,604.0,370.0,482.0,1518.0,27.0
Andhra Pradesh,Anantapur,515281,18.0,5.0,0.0,126.0,550.0,346.0,446.0,1468.0,23.0
Andhra Pradesh,Anantapur,515286,12.0,3.0,0.0,60.0,304.0,261.0,359.0,984.0,15.0
Andhra Pradesh,Anantapur,515291,20.0,2.0,0.0,47.0,189.0,192.0,319.0,747.0,22.0
Andhra Pradesh,Anantapur,515301,46.0,3.0,0.0,189.0,1413.0,508.0,726.0,2836.0,49.0
Andhra Pradesh,Anantapur,515303,22.0,3.0,0.0,56.0,202.0,237.0,309.0,804.0,25.0
Andhra Pradesh,Anantapur,515305,16.0,2.0,0.0,81.0,258.0,287.0,388.0,1014.0,18.0
Andhra Pradesh,Anantapur,515311,22.0,5.0,0.0,85.0,752.0,293.0,740.0,1870.0,27.0
Andhra Pradesh,Anantapur,515321,24.0,2.0,0.0,72.0,307.0,226.0,338.0,943.0,26.0
Andhra Pradesh,Anantapur,515331,49.0,7.0,0.0,106.0,481.0,245.0,582.0,1414.0,56.0
Andhra Pradesh,Anantapur,515341,21.0,1.0,0.0,54.0,291.0,77.0,158.0,580.0,22.0
Andhra Pradesh,Anantapur,515401,101.0,5.0,0.0,205.0,1783.0,724.0,1257.0,3969.0,106.0
Andhra Pradesh,Anantapur,515402,25.0,3.0,0.0,35.0,183.0,270.0,487.0,975.0,28.0
Andhra Pradesh,Anantapur,515405,21.0,3.0,0.0,82.0,256.0,238.0,468.0,1044.0,24.0
Andhra Pradesh,Anantapur,515408,47.0,1.0,0.0,115.0,786.0,464.0,512.0,1877.0,48.0
Andhra Pradesh,Anantapur,515411,145.0,7.0,0.0,176.0,2170.0,881.0,1354.0,4581.0,152.0
Andhra Pradesh,Anantapur,515414,21.0,0.0,0.0,62.0,394.0,281.0,319.0,1056.0,21.0
Andhra Pradesh,Anantapur,515415,11.0,1.0,0.0,21.0,102.0,93.0,96.0,312.0,12.0
Andhra Pradesh,Anantapur,515425,71.0,2.0,0.0,210.0,2016.0,819.0,947.0,3992.0,73.0
Andhra Pradesh,Anantapur,515435,26.0,1.0,0.0,35.0,155.0,203.0,289.0,682.0,27.0
Andhra Pradesh,Anantapur,515445,43.0,3.0,0.0,28.0,287.0,365.0,446.0,1126.0,46.0
Andhra Pradesh,Anantapur,515455,36.0,3.0,0.0,28.0,294.0,248.0,314.0,884.0,39.0
Andhra Pradesh,Anantapur,515465,47.0,2.0,0.0,59.0,307.0,367.0,553.0,1286.0,49.0
Andhra Pradesh,Anantapur,515501,27.0,4.0,0.0,127.0,391.0,203.0,381.0,1102.0,31.0
Andhra Pradesh,Anantapur,515511,14.0,1.0,0.0,152.0,462.0,336.0,702.0,1652.0,15.0
Andhra Pradesh,Anantapur,515521,39.0,3.0,0.0,165.0,959.0,498.0,503.0,2125.0,42.0
Andhra Pradesh,Anantapur,515531,17.0,0.0,0.0,79.0,228.0,136.0,216.0,659.0,17.0
Andhra Pradesh,Anantapur,515541,21.0,3.0,0.0,88.0,231.0,212.0,363.0,894.0,24.0
Andhra Pradesh,Anantapur,515551,23.0,0.0,0.0,63.0,286.0,239.0,315.0,903.0,23.0
Andhra Pradesh,Anantapur,515556,16.0,0.0,0.0,80.0,513.0,157.0,251.0,1001.0,16.0
Andhra Pradesh,Anantapur,515561,36.0,3.0,0.0,136.0,572.0,278.0,378.0,1364.0,39.0
Andhra Pradesh,Anantapur,515571,34.0,6.0,0.0,143.0,1397.0,366.0,589.0,2495.0,40.0
Andhra Pradesh,Anantapur,515581,42.0,1.0,0.0,88.0,546.0,460.0,629.0,1723.0,43.0
Andhra Pradesh,Anantapur,515591,127.0,5.0,0.0,359.0,1788.0,1053.0,1362.0,4562.0,132.0
Andhra Pradesh,Anantapur,515601,10.0,0.0,0.0,44.0,403.0,146.0,318.0,911.0,10.0
Andhra Pradesh,Anantapur,515611,28.0,1.0,0.0,38.0,245.0,285.0,396.0,964.0,29.0
Andhra Pradesh,Anantapur,515621,44.0,3.0,0.0,62.0,327.0,215.0,456.0,1060.0,47.0
Andhra Pradesh,Anantapur,515631,28.0,0.0,0.0,46.0,342.0,222.0,410.0,1020.0,28.0
Andhra Pradesh,Anantapur,515641,26.0,0.0,0.0,86.0,262.0,235.0,429.0,1012.0,26.0
Andhra Pradesh,Anantapur,515651,23.0,0.0,0.0,58.0,139.0,145.0,265.0,607.0,23.0
Andhra Pradesh,Anantapur,515661,26.0,2.0,0.0,71.0,503.0,261.0,330.0,1165.0,28.0
Andhra Pradesh,Anantapur,515671,89.0,11.0,0.0,254.0,1362.0,684.0,1177.0,3477.0,100.0
Andhra Pradesh,Anantapur,515672,35.0,4.0,0.0,104.0,397.0,367.0,670.0,1538.0,39.0
Andhra Pradesh,Anantapur,515701,87.0,6.0,0.0,120.0,1082.0,653.0,1100.0,2955.0,93.0
Andhra Pradesh,Anantapur,515711,55.0,5.0,0.0,74.0,498.0,400.0,430.0,1402.0,60.0
Andhra Pradesh,Anantapur,515721,18.0,4.0,0.0,32.0,135.0,154.0,416.0,737.0,22.0
Andhra Pradesh,Anantapur,515722,24.0,3.0,0.0,65.0,346.0,294.0,517.0,1222.0,27.0
Andhra Pradesh,Anantapur,515731,72.0,2.0,0.0,159.0,1526.0,444.0,799.0,2928.0,74.0
Andhra Pradesh,Anantapur,515741,48.0,3.0,0.0,97.0,834.0,376.0,646.0,1953.0,51.0
Andhra Pradesh,Anantapur,515751,68.0,4.0,0.0,173.0,2047.0,572.0,846.0,3638.0,72.0
Andhra Pradesh,Anantapur,515761,127.0,5.0,0.0,133.0,844.0,708.0,1221.0,2906.0,132.0
Andhra Pradesh,Anantapur,515763,29.0,1.0,0.0,51.0,294.0,307.0,464.0,1116.0,30.0
Andhra Pradesh,Anantapur,515765,47.0,3.0,0.0,44.0,362.0,245.0,682.0,1333.0,50.0
Andhra Pradesh,Anantapur,515766,87.0,9.0,0.0,96.0,511.0,609.0,952.0,2168.0,96.0
Andhra Pradesh,Anantapur,515767,55.0,3.0,0.0,93.0,1142.0,463.0,579.0,2277.0,58.0
Andhra Pradesh,Anantapur,515774,16.0,0.0,0.0,27.0,153.0,217.0,272.0,669.0,16.0
Andhra Pradesh,Anantapur,515775,62.0,3.0,0.0,220.0,921.0,695.0,1433.0,3269.0,65.0
Andhra Pradesh,Anantapur,515787,28.0,4.0,0.0,43.0,276.0,303.0,337.0,959.0,32.0
Andhra Pradesh,Anantapur,515801,121.0,10.0,0.0,130.0,783.0,1045.0,1910.0,3868.0,131.0
Andhra Pradesh,Anantapur,515803,24.0,0.0,0.0,36.0,137.0,195.0,416.0,784.0,24.0
Andhra Pradesh,Anantapur,515812,98.0,7.0,0.0,236.0,1269.0,894.0,1444.0,3843.0,105.0
Andhra Pradesh,Anantapur,515822,38.0,9.0,0.0,50.0,360.0,259.0,430.0,1099.0,47.0
Andhra Pradesh,Anantapur,515832,42.0,5.0,0.0,117.0,579.0,404.0,776.0,1876.0,47.0
Andhra Pradesh,Anantapur,515842,52.0,6.0,0.0,66.0,286.0,343.0,753.0,1448.0,58.0
Andhra Pradesh,Anantapur,515863,44.0,5.0,0.0,34.0,291.0,363.0,625.0,1313.0,49.0
Andhra Pradesh,Anantapur,515865,208.0,16.0,0.0,223.0,4360.0,1826.0,2373.0,8782.0,224.0
