state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrollments,demo_age_5_17,demo_age_17_,total_demo_updates,bio_age_5_17,bio_age_17_,total_bio_updates,update_intensity,child_enr_share
Andhra Pradesh,Adilabad,504308,27.0,3.0,0.0,30.0,33.0,350.0,383.0,117.0,457.0,574.0,30.870967741935484,0.8709677419354839
Andhra Pradesh,Adilabad,504309,11.0,3.0,0.0,14.0,34.0,517.0,551.0,193.0,950.0,1143.0,112.93333333333334,0.7333333333333333
Andhra Pradesh,Adilabad,504310,1.0,1.0,0.0,2.0,15.0,106.0,121.0,93.0,119.0,212.0,111.0,0.3333333333333333
Andhra Pradesh,Adilabad,504311,57.0,22.0,0.0,79.0,86.0,1349.0,1435.0,546.0,2511.0,3057.0,56.15,0.7125
Andhra Pradesh,Adilabad,504312,20.0,11.0,0.0,31.0,44.0,259.0,303.0,273.0,889.0,1162.0,45.78125,0.625
Andhra Pradesh,Adilabad,504313,83.0,18.0,0.0,101.0,112.0,995.0,1107.0,428.0,944.0,1372.0,24.30392156862745,0.8137254901960784
Andhra Pradesh,Adilabad,504346,27.0,5.0,0.0,32.0,22.0,300.0,322.0,160.0,692.0,852.0,35.57575757575758,0.8181818181818182
Andhra Pradesh,Alluri Sitharama Raju,507111,28.0,6.0,0.0,34.0,45.0,762.0,807.0,170.0,141.0,311.0,31.942857142857143,0.8
Andhra Pradesh,Alluri Sitharama Raju,507121,14.0,1.0,2.0,17.0,3.0,167.0,170.0,116.0,124.0,240.0,22.77777777777778,0.7777777777777778
Andhra Pradesh,Alluri Sitharama Raju,507129,39.0,10.0,0.0,49.0,69.0,555.0,624.0,414.0,197.0,611.0,24.7,0.78
Andhra Pradesh,Alluri Sitharama Raju,507134,26.0,1.0,0.0,27.0,26.0,194.0,220.0,217.0,66.0,283.0,17.964285714285715,0.9285714285714286
Andhra Pradesh,Alluri Sitharama Raju,507135,10.0,2.0,0.0,12.0,14.0,173.0,187.0,146.0,191.0,337.0,40.30769230769231,0.7692307692307693
Andhra Pradesh,Alluri Sitharama Raju,531024,90.0,9.0,2.0,101.0,85.0,615.0,700.0,438.0,883.0,1321.0,19.813725490196077,0.8823529411764706
Andhra Pradesh,Alluri Sitharama Raju,531029,84.0,16.0,3.0,103.0,120.0,879.0,999.0,572.0,685.0,1257.0,21.692307692307693,0.8076923076923077
Andhra Pradesh,Alluri Sitharama Raju,531030,4.0,0.0,0.0,4.0,9.0,24.0,33.0,72.0,34.0,106.0,27.8,0.8
Andhra Pradesh,Alluri Sitharama Raju,531040,125.0,8.0,6.0,139.0,120.0,1226.0,1346.0,708.0,1326.0,2034.0,24.142857142857142,0.8928571428571429
Andhra Pradesh,Alluri Sitharama Raju,531077,109.0,4.0,4.0,117.0,114.0,902.0,1016.0,426.0,640.0,1066.0,17.64406779661017,0.923728813559322
Andhra Pradesh,Alluri Sitharama Raju,531084,23.0,0.0,0.0,23.0,39.0,258.0,297.0,128.0,128.0,256.0,23.041666666666668,0.9583333333333334
Andhra Pradesh,Alluri Sitharama Raju,531087,45.0,2.0,0.0,47.0,61.0,345.0,406.0,305.0,276.0,581.0,20.5625,0.9375
Andhra Pradesh,Alluri Sitharama Raju,531105,22.0,12.0,3.0,37.0,21.0,180.0,201.0,94.0,134.0,228.0,11.289473684210526,0.5789473684210527
Andhra Pradesh,Alluri Sitharama Raju,531110,1.0,0.0,1.0,2.0,0.0,9.0,9.0,27.0,12.0,39.0,16.0,0.3333333333333333
Andhra Pradesh,Alluri Sitharama Raju,531111,83.0,7.0,6.0,96.0,140.0,705.0,845.0,764.0,752.0,1516.0,24.34020618556701,0.8556701030927835
Andhra Pradesh,Alluri Sitharama Raju,531114,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Andhra Pradesh,Alluri Sitharama Raju,531116,15.0,2.0,0.0,17.0,10.0,79.0,89.0,21.0,39.0,60.0,8.277777777777779,0.8333333333333334
Andhra Pradesh,Alluri Sitharama Raju,531118,28.0,3.0,1.0,32.0,32.0,116.0,148.0,142.0,214.0,356.0,15.272727272727273,0.8484848484848485
Andhra Pradesh,Alluri Sitharama Raju,531133,32.0,1.0,0.0,33.0,56.0,406.0,462.0,279.0,228.0,507.0,28.5,0.9411764705882353
Andhra Pradesh,Alluri Sitharama Raju,531149,32.0,2.0,0.0,34.0,41.0,450.0,491.0,480.0,485.0,965.0,41.6,0.9142857142857143
Andhra Pradesh,Alluri Sitharama Raju,531151,55.0,2.0,4.0,61.0,34.0,188.0,222.0,475.0,434.0,909.0,18.241935483870968,0.8870967741935484
Andhra Pradesh,Alluri Sitharama Raju,533284,9.0,1.0,0.0,10.0,4.0,39.0,43.0,26.0,20.0,46.0,8.090909090909092,0.8181818181818182
Andhra Pradesh,Alluri Sitharama Raju,533285,12.0,0.0,1.0,13.0,19.0,64.0,83.0,31.0,17.0,48.0,9.357142857142858,0.8571428571428571
Andhra Pradesh,Alluri Sitharama Raju,533286,5.0,0.0,0.0,5.0,4.0,33.0,37.0,21.0,14.0,35.0,12.0,0.8333333333333334
Andhra Pradesh,Alluri Sitharama Raju,533288,46.0,4.0,1.0,51.0,95.0,457.0,552.0,713.0,1043.0,1756.0,44.38461538461539,0.8846153846153846
Andhra Pradesh,Alluri Sitharama Raju,533295,17.0,3.0,0.0,20.0,159.0,699.0,858.0,261.0,364.0,625.0,70.61904761904762,0.8095238095238095
Andhra Pradesh,Alluri Sitharama Raju,533339,8.0,0.0,0.0,8.0,9.0,52.0,61.0,147.0,124.0,271.0,36.888888888888886,0.8888888888888888
Andhra Pradesh,Alluri Sitharama Raju,533347,5.0,3.0,0.0,8.0,14.0,111.0,125.0,117.0,61.0,178.0,33.666666666666664,0.5555555555555556
Andhra Pradesh,Alluri Sitharama Raju,533348,4.0,3.0,0.0,7.0,2.0,25.0,27.0,68.0,25.0,93.0,15.0,0.5
Andhra Pradesh,Alluri Sitharama Raju,533352,1.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,0.5
Andhra Pradesh,Alluri Sitharama Raju,533428,18.0,3.0,0.0,21.0,30.0,148.0,178.0,256.0,216.0,472.0,29.545454545454547,0.8181818181818182
Andhra Pradesh,Alluri Sitharama Raju,533429,2.0,0.0,0.0,2.0,2.0,30.0,32.0,14.0,25.0,39.0,23.666666666666668,0.6666666666666666
Andhra Pradesh,Alluri Sitharama Raju,533436,25.0,2.0,0.0,27.0,108.0,844.0,952.0,205.0,291.0,496.0,51.714285714285715,0.8928571428571429
Andhra Pradesh,Alluri Sitharama Raju,533483,60.0,9.0,0.0,69.0,56.0,350.0,406.0,278.0,455.0,733.0,16.271428571428572,0.8571428571428571
Andhra Pradesh,Alluri Sitharama Raju,535145,24.0,0.0,0.0,24.0,20.0,156.0,176.0,264.0,506.0,770.0,37.84,0.96
Andhra Pradesh,Alluri Sitharama Raju,535273,3.0,0.0,0.0,3.0,2.0,15.0,17.0,10.0,4.0,14.0,7.75,0.75
Andhra Pradesh,Anakapalli,530046,7.0,0.0,0.0,7.0,13.0,52.0,65.0,6.0,11.0,17.0,10.25,0.875
Andhra Pradesh,Anakapalli,531001,42.0,2.0,0.0,44.0,94.0,747.0,841.0,275.0,223.0,498.0,29.755555555555556,0.9333333333333333
Andhra Pradesh,Anakapalli,531002,16.0,0.0,0.0,16.0,43.0,194.0,237.0,27.0,26.0,53.0,17.058823529411764,0.9411764705882353
Andhra Pradesh,Anakapalli,531011,18.0,0.0,3.0,21.0,43.0,256.0,299.0,118.0,107.0,225.0,23.818181818181817,0.8181818181818182
Andhra Pradesh,Anakapalli,531019,3.0,1.0,0.0,4.0,62.0,423.0,485.0,45.0,44.0,89.0,114.8,0.6
Andhra Pradesh,Anakapalli,531020,6.0,0.0,0.0,6.0,17.0,68.0,85.0,18.0,11.0,29.0,16.285714285714285,0.8571428571428571
Andhra Pradesh,Anakapalli,531021,14.0,3.0,0.0,17.0,82.0,379.0,461.0,67.0,62.0,129.0,32.77777777777778,0.7777777777777778
Andhra Pradesh,Anakapalli,531022,2.0,0.0,0.0,2.0,7.0,48.0,55.0,8.0,10.0,18.0,24.333333333333332,0.6666666666666666
Andhra Pradesh,Anakapalli,531023,6.0,0.0,0.0,6.0,8.0,106.0,114.0,9.0,6.0,15.0,18.428571428571427,0.8571428571428571
Andhra Pradesh,Anakapalli,531025,9.0,0.0,0.0,9.0,59.0,206.0,265.0,121.0,107.0,228.0,49.3,0.9
Andhra Pradesh,Anakapalli,531026,13.0,0.0,0.0,13.0,52.0,220.0,272.0,61.0,57.0,118.0,27.857142857142858,0.9285714285714286
Andhra Pradesh,Anakapalli,531027,29.0,1.0,0.0,30.0,71.0,636.0,707.0,174.0,160.0,334.0,33.58064516129032,0.9354838709677419
Andhra Pradesh,Anakapalli,531028,12.0,0.0,0.0,12.0,30.0,154.0,184.0,59.0,60.0,119.0,23.307692307692307,0.9230769230769231
Andhra Pradesh,Anakapalli,531030,11.0,1.0,0.0,12.0,5.0,96.0,101.0,69.0,59.0,128.0,17.615384615384617,0.8461538461538461
Andhra Pradesh,Anakapalli,531031,18.0,0.0,0.0,18.0,45.0,415.0,460.0,135.0,169.0,304.0,40.21052631578947,0.9473684210526315
Andhra Pradesh,Anakapalli,531032,18.0,0.0,0.0,18.0,57.0,481.0,538.0,157.0,130.0,287.0,43.421052631578945,0.9473684210526315
Andhra Pradesh,Anakapalli,531033,14.0,0.0,0.0,14.0,21.0,150.0,171.0,24.0,33.0,57.0,15.2,0.9333333333333333
Andhra Pradesh,Anakapalli,531034,11.0,0.0,0.0,11.0,23.0,162.0,185.0,28.0,34.0,62.0,20.583333333333332,0.9166666666666666
Andhra Pradesh,Anakapalli,531035,23.0,0.0,0.0,23.0,62.0,389.0,451.0,180.0,181.0,361.0,33.833333333333336,0.9583333333333334
Andhra Pradesh,Anakapalli,531036,15.0,0.0,0.0,15.0,65.0,423.0,488.0,128.0,161.0,289.0,48.5625,0.9375
Andhra Pradesh,Anakapalli,531055,30.0,0.0,2.0,32.0,305.0,1866.0,2171.0,228.0,164.0,392.0,77.66666666666667,0.9090909090909091
Andhra Pradesh,Anakapalli,531060,9.0,0.0,0.0,9.0,10.0,87.0,97.0,10.0,8.0,18.0,11.5,0.9
Andhra Pradesh,Anakapalli,531061,14.0,1.0,0.0,15.0,37.0,300.0,337.0,96.0,77.0,173.0,31.875,0.875
Andhra Pradesh,Anakapalli,531075,7.0,0.0,0.0,7.0,4.0,42.0,46.0,8.0,9.0,17.0,7.875,0.875
Andhra Pradesh,Anakapalli,531081,16.0,0.0,1.0,17.0,97.0,615.0,712.0,239.0,97.0,336.0,58.22222222222222,0.8888888888888888
Andhra Pradesh,Anakapalli,531082,3.0,0.0,0.0,3.0,4.0,62.0,66.0,8.0,5.0,13.0,19.75,0.75
Andhra Pradesh,Anakapalli,531083,9.0,1.0,1.0,11.0,25.0,137.0,162.0,47.0,42.0,89.0,20.916666666666668,0.75
Andhra Pradesh,Anakapalli,531084,8.0,0.0,0.0,8.0,16.0,149.0,165.0,66.0,49.0,115.0,31.11111111111111,0.8888888888888888
Andhra Pradesh,Anakapalli,531085,10.0,0.0,0.0,10.0,30.0,163.0,193.0,104.0,152.0,256.0,40.81818181818182,0.9090909090909091
Andhra Pradesh,Anakapalli,531113,28.0,0.0,0.0,28.0,80.0,590.0,670.0,141.0,197.0,338.0,34.758620689655174,0.9655172413793104
Andhra Pradesh,Anakapalli,531114,19.0,0.0,0.0,19.0,55.0,365.0,420.0,104.0,105.0,209.0,31.45,0.95
Andhra Pradesh,Anakapalli,531115,11.0,0.0,0.0,11.0,17.0,141.0,158.0,73.0,55.0,128.0,23.833333333333332,0.9166666666666666
Andhra Pradesh,Anakapalli,531116,38.0,1.0,0.0,39.0,138.0,807.0,945.0,328.0,355.0,683.0,40.7,0.95
Andhra Pradesh,Anakapalli,531117,3.0,0.0,0.0,3.0,12.0,130.0,142.0,42.0,41.0,83.0,56.25,0.75
Andhra Pradesh,Anakapalli,531118,1.0,0.0,0.0,1.0,2.0,14.0,16.0,1.0,6.0,7.0,11.5,0.5
Andhra Pradesh,Anakapalli,531126,22.0,0.0,0.0,22.0,64.0,482.0,546.0,283.0,130.0,413.0,41.69565217391305,0.9565217391304348
Andhra Pradesh,Anakapalli,531127,8.0,1.0,1.0,10.0,12.0,99.0,111.0,38.0,25.0,63.0,15.818181818181818,0.7272727272727273
Andhra Pradesh,Anantapur,515001,171.0,20.0,0.0,191.0,310.0,2124.0,2434.0,1815.0,2717.0,4532.0,36.28125,0.890625
Andhra Pradesh,Anantapur,515002,12.0,2.0,0.0,14.0,49.0,240.0,289.0,228.0,505.0,733.0,68.13333333333334,0.8
Andhra Pradesh,Anantapur,515003,5.0,1.0,0.0,6.0,7.0,52.0,59.0,14.0,46.0,60.0,17.0,0.7142857142857143
Andhra Pradesh,Anantapur,515004,54.0,6.0,0.0,60.0,118.0,594.0,712.0,604.0,984.0,1588.0,37.704918032786885,0.8852459016393442
Andhra Pradesh,Anantapur,515101,38.0,1.0,0.0,39.0,175.0,725.0,900.0,230.0,616.0,846.0,43.65,0.95
Andhra Pradesh,Anantapur,515110,33.0,5.0,0.0,38.0,103.0,419.0,522.0,292.0,652.0,944.0,37.58974358974359,0.8461538461538461
Andhra Pradesh,Anantapur,515122,30.0,1.0,0.0,31.0,120.0,879.0,999.0,391.0,638.0,1029.0,63.375,0.9375
Andhra Pradesh,Anantapur,515123,27.0,0.0,0.0,27.0,65.0,358.0,423.0,250.0,816.0,1066.0,53.17857142857143,0.9642857142857143
Andhra Pradesh,Anantapur,515124,19.0,2.0,0.0,21.0,61.0,363.0,424.0,187.0,357.0,544.0,44.0,0.8636363636363636
Andhra Pradesh,Anantapur,515133,35.0,2.0,0.0,37.0,60.0,401.0,461.0,201.0,326.0,527.0,26.0,0.9210526315789473
Andhra Pradesh,Anantapur,515134,25.0,0.0,0.0,25.0,73.0,307.0,380.0,231.0,363.0,594.0,37.46153846153846,0.9615384615384616
Andhra Pradesh,Anantapur,515144,55.0,0.0,0.0,55.0,96.0,549.0,645.0,270.0,465.0,735.0,24.642857142857142,0.9821428571428571
Andhra Pradesh,Anantapur,515154,13.0,1.0,0.0,14.0,41.0,178.0,219.0,185.0,297.0,482.0,46.733333333333334,0.8666666666666667
Andhra Pradesh,Anantapur,515159,8.0,0.0,0.0,8.0,41.0,108.0,149.0,77.0,113.0,190.0,37.666666666666664,0.8888888888888888
Andhra Pradesh,Anantapur,515164,20.0,2.0,0.0,22.0,27.0,185.0,212.0,118.0,224.0,342.0,24.08695652173913,0.8695652173913043
Andhra Pradesh,Anantapur,515201,101.0,8.0,0.0,109.0,231.0,1692.0,1923.0,1023.0,1584.0,2607.0,41.18181818181818,0.9181818181818182
Andhra Pradesh,Anantapur,515211,24.0,0.0,0.0,24.0,104.0,271.0,375.0,300.0,356.0,656.0,41.24,0.96
Andhra Pradesh,Anantapur,515212,27.0,2.0,0.0,29.0,60.0,535.0,595.0,175.0,329.0,504.0,36.63333333333333,0.9
Andhra Pradesh,Anantapur,515231,44.0,3.0,0.0,47.0,182.0,1489.0,1671.0,424.0,841.0,1265.0,61.166666666666664,0.9166666666666666
Andhra Pradesh,Anantapur,515241,16.0,2.0,0.0,18.0,66.0,604.0,670.0,189.0,371.0,560.0,64.73684210526316,0.8421052631578947
Andhra Pradesh,Anantapur,515261,31.0,3.0,0.0,34.0,56.0,285.0,341.0,118.0,297.0,415.0,21.6,0.8857142857142857
Andhra Pradesh,Anantapur,515271,23.0,4.0,0.0,27.0,62.0,604.0,666.0,370.0,482.0,852.0,54.214285714285715,0.8214285714285714
Andhra Pradesh,Anantapur,515281,18.0,5.0,0.0,23.0,126.0,550.0,676.0,346.0,446.0,792.0,61.166666666666664,0.75
Andhra Pradesh,Anantapur,515286,12.0,3.0,0.0,15.0,60.0,304.0,364.0,261.0,359.0,620.0,61.5,0.75
Andhra Pradesh,Anantapur,515291,20.0,2.0,0.0,22.0,47.0,189.0,236.0,192.0,319.0,511.0,32.47826086956522,0.8695652173913043
Andhra Pradesh,Anantapur,515301,46.0,3.0,0.0,49.0,189.0,1413.0,1602.0,508.0,726.0,1234.0,56.72,0.92
Andhra Pradesh,Anantapur,515303,22.0,3.0,0.0,25.0,56.0,202.0,258.0,237.0,309.0,546.0,30.923076923076923,0.8461538461538461
Andhra Pradesh,Anantapur,515305,16.0,2.0,0.0,18.0,81.0,258.0,339.0,287.0,388.0,675.0,53.36842105263158,0.8421052631578947
