pincode,state,district,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
123501,Haryana,Rewari,272.0,22.0,2.0,466.0,3342.0,2552.0,2026.0
124001,Haryana,Jhajjar,1.0,0.0,0.0,1.0,1.0,0.0,0.0
124001,Haryana,Rohtak,1527.0,133.0,59.0,2375.0,11650.0,11669.0,21758.0
124021,Haryana,Jhajjar,11.0,0.0,0.0,0.0,24.0,22.0,42.0
124021,Haryana,Rohtak,115.0,3.0,1.0,84.0,540.0,1012.0,2004.0
124022,Haryana,Rohtak,56.0,2.0,0.0,27.0,178.0,507.0,1143.0
124102,Haryana,Jhajjar,91.0,0.0,0.0,37.0,301.0,540.0,1294.0
124102,Haryana,Jhajjar *,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124103,Haryana,Jhajjar,398.0,10.0,0.0,540.0,5178.0,3549.0,4074.0
124104,Haryana,Jhajjar,97.0,7.0,0.0,45.0,391.0,788.0,946.0
124105,Haryana,Jhajjar,128.0,2.0,0.0,141.0,991.0,1306.0,1258.0
124106,Haryana,Jhajjar,139.0,7.0,0.0,92.0,949.0,1626.0,2500.0
124107,Haryana,Jhajjar,112.0,2.0,0.0,43.0,447.0,715.0,1458.0
124108,Haryana,Jhajjar,169.0,3.0,0.0,102.0,920.0,1291.0,1427.0
124109,Haryana,Jhajjar,133.0,10.0,0.0,69.0,539.0,1251.0,1840.0
124111,Haryana,Rohtak,115.0,1.0,0.0,113.0,645.0,956.0,2208.0
124112,Haryana,Rohtak,291.0,4.0,0.0,455.0,2294.0,2521.0,5261.0
124113,Haryana,Rohtak,121.0,6.0,0.0,160.0,926.0,1242.0,2957.0
124142,Haryana,Jhajjar,51.0,1.0,0.0,70.0,527.0,652.0,678.0
124146,Haryana,Jhajjar,82.0,2.0,0.0,66.0,469.0,1077.0,1842.0
124201,Haryana,Jhajjar,63.0,0.0,0.0,11.0,94.0,743.0,1656.0
124201,Haryana,Rohtak,23.0,0.0,0.0,6.0,72.0,160.0,580.0
124202,Haryana,Jhajjar,69.0,2.0,0.0,18.0,178.0,665.0,1415.0
124202,Haryana,Rohtak,21.0,1.0,0.0,6.0,48.0,127.0,243.0
124303,Haryana,Rohtak,103.0,3.0,0.0,131.0,679.0,997.0,1857.0
124401,Haryana,Rohtak,142.0,11.0,0.0,159.0,860.0,1079.0,2138.0
124404,Haryana,Jhajjar,7.0,1.0,0.0,3.0,31.0,100.0,123.0
124404,Haryana,Rohtak,24.0,1.0,0.0,17.0,132.0,201.0,391.0
124406,Haryana,Rohtak,68.0,1.0,1.0,48.0,400.0,340.0,663.0
124411,Haryana,Rohtak,72.0,1.0,0.0,37.0,179.0,670.0,1481.0
124412,Haryana,Jhajjar,23.0,1.0,0.0,4.0,37.0,195.0,487.0
124412,Haryana,Rohtak,56.0,3.0,0.0,61.0,268.0,583.0,1152.0
124501,Haryana,Jhajjar,86.0,6.0,0.0,40.0,355.0,789.0,1152.0
124501,Haryana,Rohtak,209.0,10.0,0.0,228.0,1996.0,1650.0,2802.0
124504,Haryana,Jhajjar,56.0,2.0,0.0,24.0,225.0,371.0,543.0
124505,Haryana,Jhajjar,74.0,2.0,0.0,51.0,602.0,839.0,902.0
124506,Haryana,Jhajjar,27.0,1.0,0.0,12.0,144.0,372.0,380.0
124507,Haryana,Jhajjar,698.0,40.0,10.0,2394.0,16218.0,8025.0,7705.0
124513,Haryana,Rohtak,46.0,2.0,0.0,20.0,202.0,428.0,619.0
124514,Haryana,Rohtak,172.0,9.0,0.0,225.0,1310.0,1558.0,3013.0
125001,Haryana,Hisar,1651.0,141.0,11.0,2089.0,14466.0,16841.0,17747.0
125004,Haryana,Hisar,114.0,4.0,0.0,104.0,844.0,1459.0,1848.0
125005,Haryana,Hisar,92.0,8.0,0.0,76.0,643.0,868.0,1187.0
125006,Haryana,Hisar,82.0,6.0,0.0,43.0,318.0,779.0,808.0
125033,Haryana,Hisar,689.0,23.0,4.0,1436.0,12704.0,8161.0,9134.0
125037,Haryana,Hisar,29.0,4.0,0.0,25.0,204.0,422.0,682.0
125038,Haryana,Hisar,73.0,1.0,0.0,82.0,752.0,738.0,1100.0
125039,Haryana,Hisar,308.0,7.0,1.0,626.0,6127.0,3496.0,4704.0
125042,Haryana,Hisar,167.0,5.0,0.0,127.0,1237.0,1863.0,2663.0
125044,Haryana,Hisar,161.0,7.0,0.0,255.0,1449.0,1302.0,1726.0
125047,Haryana,Fatehabad,39.0,0.0,1.0,48.0,191.0,548.0,797.0
125047,Haryana,Hisar,184.0,14.0,0.0,121.0,1355.0,1706.0,1806.0
125048,Haryana,Fatehabad,110.0,4.0,0.0,55.0,405.0,1239.0,2247.0
125048,Haryana,Hisar,16.0,0.0,0.0,3.0,64.0,78.0,121.0
125049,Haryana,Hisar,128.0,4.0,2.0,109.0,872.0,1260.0,1769.0
125050,Haryana,Fatehabad,574.0,26.0,2.0,1696.0,12344.0,7157.0,7803.0
125050,Haryana,Hisar,6.0,0.0,0.0,2.0,51.0,67.0,101.0
125051,Haryana,Fatehabad,500.0,16.0,0.0,1123.0,11209.0,7619.0,8680.0
125052,Haryana,Fatehabad,4.0,0.0,0.0,0.0,11.0,19.0,14.0
125052,Haryana,Hisar,417.0,22.0,0.0,638.0,5584.0,5140.0,5722.0
125053,Haryana,Fatehabad,212.0,15.0,0.0,242.0,2306.0,2444.0,3732.0
125053,Haryana,Hisar,5.0,0.0,0.0,0.0,16.0,17.0,15.0
125054,Haryana,Sirsa,62.0,2.0,0.0,37.0,420.0,638.0,758.0
125055,Haryana,Hisar,0.0,1.0,0.0,0.0,4.0,6.0,5.0
125055,Haryana,Sirsa,994.0,65.0,2.0,2123.0,20522.0,13969.0,17335.0
125058,Haryana,Sirsa,30.0,8.0,0.0,61.0,454.0,672.0,736.0
125060,Haryana,Sirsa,119.0,3.0,0.0,201.0,1473.0,1405.0,1870.0
125075,Haryana,Sirsa,177.0,10.0,0.0,132.0,1825.0,2244.0,3005.0
125076,Haryana,Sirsa,179.0,10.0,0.0,190.0,1631.0,1970.0,3044.0
125077,Haryana,Sirsa,146.0,4.0,0.0,198.0,2238.0,1958.0,2605.0
125078,Haryana,Sirsa,149.0,6.0,0.0,67.0,1517.0,1731.0,2351.0
125101,Haryana,Sirsa,70.0,2.0,0.0,24.0,319.0,508.0,1182.0
125102,Haryana,Sirsa,204.0,19.0,0.0,595.0,4780.0,2943.0,4612.0
125103,Haryana,Sirsa,181.0,6.0,0.0,132.0,2151.0,1944.0,2848.0
125104,Haryana,Sirsa,340.0,35.0,0.0,669.0,7291.0,4135.0,6078.0
125106,Haryana,Fatehabad,145.0,2.0,0.0,110.0,1025.0,1763.0,2780.0
125110,Haryana,Sirsa,254.0,16.0,0.0,203.0,2197.0,3046.0,4488.0
125111,Haryana,Fatehabad,282.0,11.0,1.0,671.0,4676.0,2500.0,2864.0
125112,Haryana,Fatehabad,65.0,1.0,0.0,49.0,367.0,423.0,518.0
125112,Haryana,Hisar,84.0,4.0,0.0,71.0,1092.0,912.0,1361.0
125113,Haryana,Fatehabad,44.0,0.0,0.0,48.0,269.0,567.0,734.0
125113,Haryana,Hisar,243.0,14.0,0.0,107.0,1161.0,2464.0,2748.0
125120,Haryana,Fatehabad,436.0,15.0,6.0,483.0,3944.0,4305.0,6745.0
125121,Haryana,Hisar,476.0,24.0,0.0,751.0,7590.0,5740.0,7289.0
125133,Haryana,Fatehabad,99.0,2.0,0.0,67.0,629.0,1279.0,3012.0
125201,Haryana,Sirsa,230.0,12.0,0.0,344.0,3367.0,3475.0,5506.0
126101,Haryana,Jind,280.0,7.0,0.0,490.0,4539.0,1841.0,2682.0
126102,Haryana,Jind,949.0,28.0,0.0,1577.0,10943.0,7768.0,12779.0
126110,Haryana,Jind,76.0,3.0,0.0,70.0,593.0,682.0,1111.0
126111,Haryana,Jind,137.0,9.0,0.0,42.0,526.0,894.0,1662.0
